start_node,end_node,preprocessing_time (ms),execution_time (ms),explored_nodes,space_occupation (Byte),space_preprocessing (Byte),space_query (Byte)
163,869,511916.9731140137,3.074169158935547,26,128304203,128079539,224664
595,315,511916.9731140137,2.413034439086914,10,128371747,128079539,292208
76,751,511916.9731140137,1.0340213775634766,2,128310619,128079539,231080
50,464,511916.9731140137,0.8568763732910156,6,128299323,128079539,219784
125,187,511916.9731140137,1.068115234375,4,128333423,128079539,253884
289,145,511916.9731140137,0.7002353668212891,4,128308767,128079539,229228
803,334,511916.9731140137,3.681182861328125,24,128346083,128079539,266544
301,688,511916.9731140137,0.8709430694580078,2,128358775,128079539,279236
498,46,511916.9731140137,1.3790130615234375,6,128360479,128079539,280940
662,970,511916.9731140137,2.3212432861328125,14,128332011,128079539,252472
939,498,511916.9731140137,2.4230480194091797,14,128336235,128079539,256696
714,695,511916.9731140137,1.0380744934082031,2,128379763,128079539,300224
840,430,511916.9731140137,4.239797592163086,32,128328671,128079539,249132
610,308,511916.9731140137,0.4239082336425781,2,128293755,128079539,214216
882,709,511916.9731140137,2.817869186401367,20,128327879,128079539,248340
567,411,511916.9731140137,0.8399486541748047,2,128338623,128079539,259084
962,486,511916.9731140137,0.6887912750244141,2,128326723,128079539,247184
364,662,511916.9731140137,0.36978721618652344,2,128283807,128079539,204268
157,746,511916.9731140137,7.725000381469727,48,128342371,128079539,262832
13,120,511916.9731140137,0.8907318115234375,2,128373979,128079539,294440
974,678,511916.9731140137,1.5349388122558594,18,128290195,128079539,210656
605,279,511916.9731140137,6.4849853515625,52,128318439,128079539,238900
510,980,511916.9731140137,2.747774124145508,14,128375675,128079539,296136
242,868,511916.9731140137,0.5109310150146484,2,128312055,128079539,232516
812,682,511916.9731140137,1.1510848999023438,10,128299275,128079539,219736
152,107,511916.9731140137,0.44918060302734375,2,128303459,128079539,223920
469,908,511916.9731140137,0.4940032958984375,2,128308671,128079539,229132
690,529,511916.9731140137,0.7128715515136719,2,128334231,128079539,254692
948,629,511916.9731140137,0.9741783142089844,2,128376263,128079539,296724
880,453,511916.9731140137,0.9210109710693359,2,128370099,128079539,290560
588,553,511916.9731140137,5.409002304077148,38,128348147,128079539,268608
317,143,511916.9731140137,1.4941692352294922,18,128279363,128079539,199824
173,748,511916.9731140137,1.7468929290771484,22,128284355,128079539,204816
732,617,511916.9731140137,0.865936279296875,2,128362719,128079539,283180
215,448,511916.9731140137,0.49591064453125,2,128309083,128079539,229544
246,321,511916.9731140137,0.560760498046875,2,128320571,128079539,241032
468,921,511916.9731140137,0.37384033203125,2,128285183,128079539,205644
467,81,511916.9731140137,0.7240772247314453,2,128344279,128079539,264740
336,402,511916.9731140137,3.354787826538086,24,128338823,128079539,259284
901,377,511916.9731140137,0.61798095703125,2,128323783,128079539,244244
392,642,511916.9731140137,0.4107952117919922,2,128293299,128079539,213760
724,448,511916.9731140137,0.45180320739746094,2,128295535,128079539,215996
841,125,511916.9731140137,0.4680156707763672,2,128299911,128079539,220372
953,377,511916.9731140137,1.6667842864990234,24,128275999,128079539,196460
247,537,511916.9731140137,2.001047134399414,22,128293455,128079539,213916
45,7,511916.9731140137,0.4699230194091797,2,128308907,128079539,229368
32,126,511916.9731140137,2.7709007263183594,26,128310959,128079539,231420
663,105,511916.9731140137,0.827789306640625,2,128363607,128079539,284068
122,601,511916.9731140137,2.7420520782470703,26,128307943,128079539,228404
659,977,511916.9731140137,8.401870727539062,56,128355715,128079539,276176
