start_node,end_node,preprocessing_time_ms,execution_time_ms,explored_nodes,shortest_distance,memory_usage_bytes
1671,141,784552.3151999805,1960.7989999931306,2691,2,558416
1565,369,784552.3151999805,1066.0394000005908,1835,2,261248
1389,118,784552.3151999805,1734.342799987644,2572,2,420056
364,1636,784552.3151999805,705.939200008288,1231,,148384
156,774,784552.3151999805,334.93780001299456,674,,143128
1327,1769,784552.3151999805,987.18260001624,1726,,195352
327,1475,784552.3151999805,2144.415399990976,2828,2,420056
1936,516,784552.3151999805,579.9640999757685,1127,,147288
1684,80,784552.3151999805,1550.789500004612,2244,2,412184
1678,1767,784552.3151999805,1480.450299975928,2408,3,388464
808,1172,784552.3151999805,500.03639998612925,895,,156952
328,662,784552.3151999805,1461.706999980379,1789,,283544
627,211,784552.3151999805,1611.854000017047,2325,3,257696
574,1838,784552.3151999805,833.6432999931276,1278,,161568
1299,1948,784552.3151999805,2637.5649999827147,3053,2,567760
1994,768,784552.3151999805,278.4893999923952,585,,138512
1174,856,784552.3151999805,1553.3888000063598,2005,2,385008
530,905,784552.3151999805,1169.0608999924734,1774,2,377616
153,228,784552.3151999805,1434.8200000240467,1797,2,356560
1446,1832,784552.3151999805,1676.6160000115633,1507,,213792
376,934,784552.3151999805,818.4919999912381,1098,,176912
1567,1554,784552.3151999805,1242.5590999773704,1351,,195352
732,1423,784552.3151999805,965.1807000045665,1254,,156952
107,1901,784552.3151999805,2609.827000007499,3005,2,465904
1802,711,784552.3151999805,1350.657599978149,1765,2,376176
1862,1640,784552.3151999805,833.1376999849454,1577,,195352
651,107,784552.3151999805,1018.7072000117041,1494,,279968
1519,911,784552.3151999805,2390.914799994789,2246,2,390288
166,1528,784552.3151999805,2147.3583999904804,2243,2,390288
1422,1820,784552.3151999805,1038.3019999717362,2004,6,227648
1731,1274,784552.3151999805,1366.0265000071377,2151,2,406904
745,675,784552.3151999805,1216.6877000126988,1854,2,385008
651,627,784552.3151999805,1315.1883000391535,1970,2,402232
810,1483,784552.3151999805,942.2484000097029,1666,2,262848
1832,81,784552.3151999805,965.241999947466,1817,,195352
281,429,784552.3151999805,1750.202499970328,2505,2,411256
1385,1219,784552.3151999805,1582.1856000111438,2397,2,416760
1937,1973,784552.3151999805,742.5453999894671,1362,,195352
572,1128,784552.3151999805,1335.5573999579065,2031,2,386640
1327,37,784552.3151999805,864.8692999850027,1634,,195352
768,1490,784552.3151999805,2401.2656999984756,3092,2,563088
1780,425,784552.3151999805,19.828699994832277,59,,80784
415,1861,784552.3151999805,1000.2276999875903,1763,2,354640
1512,505,784552.3151999805,2278.910299995914,3001,2,568368
1531,1120,784552.3151999805,159.19759997632354,324,,96160
1024,1305,784552.3151999805,1239.2763000098057,2031,3,323480
1877,24,784552.3151999805,554.8258000053465,1095,,156952
1699,1674,784552.3151999805,1359.0449999901466,2158,2,404280
1992,1079,784552.3151999805,2243.2646000524983,2908,2,425336
1228,1403,784552.3151999805,2246.396199974697,2973,2,563088
